,Customer_name,Rating,Review_Title,Review
679,Ravimodi,5,New Years eve dinner and new year breakfast,"Exquisite ! Par excellence! Delicious! Mouth watering ! Even if i try to find a fault  under a microscope, i will fail! Everything right from early check in ,to the new year eve gala dinner ,to the New year Breakfast, to the late  check out ! What a concept ! The service was impeccable! Food, Spirits, Cocktails , all A+++++ Kudos to the entire team of Grand Hyatt, Fabulous !!!"
680,PARTH DOSHI,5,Best breakfast i have ever had,"Probably the best way to start 2021 was having a great breakfast and at hyatt it was the best breakfast ever . All the food was very well served and it all tasted very good. Chefs karsh , apurva , kilen , nishad , vishal , rahul were amazing. They all were super caring and always kept asking us if we need anything more ."
681,Simran Karia,5,Review,"We had a good stay, the services were proper and the food was amazing!  We loved the breakfast menu. Everything tasted delicious  Chefs karsh , apurva , kilen , nishad , vishal , rahul were amazing.  Had a great time."
682,Dev,5,Excellent Service,"The club access lounge visit was excellent. The service by Vishal, Rajesh and amazing food by Chef Ankita & Chef Vijay made it a memorable evening ushering in the new year. And a memorable pic to boot. At Celini, Renuka ensured that we never went hungry and took extreme good care of us. She was extremely helpful and caring. The best hotel to stay in Mumbai. "
683,Richa C,5,Grand Hyatt,"Amazing hospitality for dining. The staff was courteous and  helpful. Our servers were Chef Nishad, Chef Prasad, Chef Kilen ,Chef Eric, Sayan and Renuka. Thankyou.  Room service was a bit slow as the hotel was fully occupied but other than that it was amazing stay."
684,adfghhh,5,New year eve,"It was memorable 31st Dec 20 in grand Hyatt.Thanks Chef Sandeep,Vijay ,Vikas and Naval for lovely food arrangements.All Chefs are really helpful and prompt responsive.would definitely visit the hotel next year for best hospitality."
685,takshit k,5,New year party at Hyatt,The restaurant food is very delicious and all the chefs are very polite and friendly  Morning breakfast is very good  This is a special dessert by the chef from the grand Hyatt hotel  Thank you chef Nishad 👍
686,Clifford Rodrigues,5,Excellent Stay at Grand hyatt.,"I had booked a room at Grand Hyatt,Mumbai .I was grateful to the staff for rendering an awesome service by Chef Nishad,Chef Vivek,Chef Rajesh, n Chef Sanjeev.The staff served scumptuous meal.Breakfast ,Lunch n Dinner  was upto the standard n high in sanitation It was indeed an enjoyable stay.It was a great pleasure staying at Grand Hyatt N looking forward to the the same."
687,Tabasum Nigar,5,Good service and hospitality,"Nice ambiance, caring service, big surprize every time food came to the table - it just looked so awesome and tasted even better!All thanks to Chef Nishad, chef vivek, chef rajesh ,Chef vishal ,Sayan and renuka these people were amazing at their service."
688,NITINCHOPRA1982,5,Good Finisher for the year,Very nice experience. All safety protocols followed. Neat and clean property . Thanks to Chef Nishad and his team for the perfect hospitality.  Would love to visit property again once things normalize.
689,Dilip S,5,A very good stay at Grand Hyatt Mumbai,"We were there just for a day, as the property was close to the airport, but have to say that a we would have loved to stay there a couple of days more, the club room was extremely spacious and aesthetic, the breakfast buffet was fine and we also had the Sunday brunch which was delicious but would have like to see more spread especially compared to grand hyatt kochi, however the hospitality was really nice specially chef nishad made sure we were satisfied with the food, but the highlight of our stay was the China house restaurant and that was one of the best Chinese meals which we had in the country "
690,RavindraMehta,5,Stay@hyatt,The hospitality was excellent and the room service was very helpful The chef's were excellent for breakfast and dinner I enjoyed my stay with the hotel  The ambience was awesome and  I enjoyed the dinner at the celini
691,Rajesh poojari,5,Anniversary staycation @Grand hyaat with a lovely breakfast at celini.,"Your servers were Chef Nishad, chef vivek, chef rajesh ,Chef vishal ,Sayan and renuka It was awesome and suprise given by the above chef was awesome it really made our day. Would like to come soon on our special occasion."
692,SG1,5,Great Hospitality Indeed!!,"Been a patron of the property for some time now , however during my recent stay it was really heart touching.  Staffs extended full cooperation and made sure utmost  comfortable stay during difficult times like COVID.  Specially the CHEF's team lead by Chef Nishad,  along with  his colleagues Chef Vivek, Chef Rajesh ,Chef Vishal ,Sayan and Renuka  made sure they walk all possible extra miles to make our stay memorable.  Would highly recommend the property and would love to go back again."
693,Devanshu Prabhu,5,Staycation at Grand Hyatt,Execellent friendly and cooperative staff. It felt as if we were home. Very nice food and preferences We got a nice desert especially from the chefs Thank you and appreciate for the quality services. We will come back definitely soon
694,Dharmi,5,Hotel the Grand Hyatt Mumbai,Breakfast was really exotic and service was up to the mark. Chef personally took care of everything and very polite. The whole staff at the restaurant Celini very polite and cooperative. Really good and worth staying at the Hotel. Taste of food really good and i must recommend to stay at the hotel for family and leisure purpose. You will be pampered like never before.
695,Akash,5,Great food and a lot of options to choose from!,A must try for all the food lovers. A variety of options to choose from. They follow covid protocols. Excellent customer service. Gave me a small customised farewell gift since it was my last day there.
696,Eric_matthew_knowles,5,Best staycation ever,Okay so this was my 5th stay at the grand Hyatt santacruz and I experience is Beyond expected as always grand Hyatt has become home to me and there is no other place in mumbai I think of when I think of a staycation and I highly recommended Hyatt to all my friends and family what makes Hyatt so special it’s the crew the people of Hyatt I have so many people that I love there let’s just start one by one I’m sorry but this is going to be one long feedback so bear with me haha danish at the concierge has made me very home he’s so friendly so helpful always keeping a check on me to know if my stay is fine or if there’s anything I ever need when I came to Hyatt for my first stay in august it was for my birthday I was new to the property but it was a very comfortable stay and all this…
697,Govarthni,5,Hyatt from my view,"It was a great stay there, I stayed for 2 days. Their service was soo good. Amazing breakfast experience especially the team headed by chef Nishad was truly friendly and also polite. The dishes was also excellent and I personally enjoyed the south Indian menu and the desserts. It's a worth stay.."
698,sumitragonsalves,5,Vacay with cousins,"Hyatt properties are known to be one of the best properties you can visit. And their hospitality is what takes them one notch above. This is exactly what my cousins and I have experienced with our recent stay here. The breakfast is absolutely amazing and includes live counters. Our attendents were Chef Nishad, Chef Apurva, Chef kilen ,Chef Prasad ,bhawika and nikhil  who were always seemed to be on their toes and constantly checking on our needs. We were treated with a see you soon dessert, a sweet gesture from the chefs.   Thank you once again"
699,Akshit Nalawade,5,Christmas vacay,"Everything was great, the infrastructure and services were nice too.The dinner as well as the breakfast was amazing. The most fascinating thing that I found was my chambers.I know my family enjoyed here and thought it was a merry christmas"
700,Varun,5,Stay,"The ambience of the hotel was outstanding, the rooms were comfortable too. The staff was very helpful and the service provided was excellent. The morning breakfast was amazing, I wish to visit again and experience it again."
701,Mahendra N,5,Five star for dining and stay,"Truely 5 star for dining and stay. It was a  great experience of hospitality. The rooms, reception services, room service, in room dining, house keeping everything is best. The choice of restaurants is also good.  I had the opportunity to eat super cusines made by Chef Prasad, Chef Nishad, chef Vishal, chef karsh ,Chef Shashikant ,Chef bhawika,Chef renuka. Breakfast spread was awesome and managed by super friendly and cordial team.  Overall delightful experience throughout the stay and best cusine choice in Mumbai. "
702,Sandip N,5,It’s awesome,"Thank you Chef Nishad and Team for giving us wonderful experience at GHM  Great food prepared and served by Chef Prasad, chef Vishal, chef karsh ,Chef Shashikant And hostess Bhawika and Renuka  Its wonderful"
703,Vidhiya Sekar,5,First Hyatt experience,"It was my first experience in Hyatt. Stay was comfortable. Especially the breakfast buffet in Fifty-five East was a top-notch memorable feast. Sausage & Bacon was my favourite. Desert variety was also great especially Dates cake and waffles. Chef Nishad and other Crew Vishal, Karsh, Shashikant, Bhawika & Renuka were very polite and friendly. Worth going just for Breakfast."
704,Suresh C,5,Feedback,Excellent hospitality by the staff. Good food. Chef Nishad and team were excellent. Service is unbelievable by the entire team with meticulous execution towards customer care. Worth my stay here  Hope to visit again
705,Karan Adhikary,5,Staycation,It was a good experience indeed... Room was too specious and the staff's were very polite... The breakfast buffet was very delicious and the service from Nadeem was too good... Love the way they treat to their guest.... Kudos to Chef Nishad and the team... Surely I will visit Grand Hyatt again.
706,Suraj Pillai,5,Blissful stay with our family of 4,"We celebrated our parents' anniversary here. What a lovely stay it has been!  The sanitization measures were excellent and we felt safe at all times. Thank you so much for the exemplary service guys!  All the meals we had here were delicious. Special mention for the cake that you arranged for my parents. Made our stay extra special. Thank you Chef Nishad for being extremely interactive and making us feel at home. Also, special mention to Chef  Apurva, Chelf Selvam, Chef Keenan and Shon for the delectable fare. A huge shoutout to the entire Service time. You guys were excellent and always available, even with all the social distancing measures in place.  We are looking forward to staying here again, once the Spa and Pool open up (understandable that they are closed due to the…"
707,Kriti D,4,thanks for the gratitude,"I would like to thank the entire team for grand hyaat and the entire staff n chef for making my n my families stay during Xmas the most memorable one . Even the personal requirements I requested for I was received . Thanks once again And al the best 💥🙏👍 As requested   given names were taking care you !!  Chefs- Nishad, Sashi, Nadeem Mulani, Siddesh,Apurva kilen,vishal,rajesh ,vivek . Chef Jhupa Master chef  And even Pallavi Rana , TAnvi at receiptionist .thanks to each and all from bottom of the heart ❤️"
708,Praveen Dube,5,Wonderful stay and memorable Anniversary celebration,It was a wonderful stay and a wonderful experience. Superb caring staff and delicious food from the restaurant Celine. Special thanks to chef and the staff for the excellent service and making our anniversary memorable
709,Sweta D,5,Staycation,"I am pleased by the service these guys give. They treat thier guests so well that it will definitely leave a smile on your face. The rooms are spacious and just like you except a five star hotel to be. I am surely impressed by the breakfast buffet because it was huge.Chef Nishad, chef Vishal, chef Apurva ,Chef Rajesh ,Sayan and renuka were our servers and damn i am completely imprrssed by them and their gesture towards us. Kudos to the team . Will surely visit grand hyatt again."
710,Atiesh,2,"Poor service, confused staff , a 3 star experience","I stayed for one night at this hotel for one night and right from the checkin process it did not feel like the staying in a five star property. The entire staff seems to be amateurs and lacks experience. I had lunch at the restaurant along with an friend of mine and we ordered for some naan to had along with the main course which the restaurant staff completely forgot. This was brought to the notice of the staff but went to deaf ears without any apology. To further make matters worse  one of the Staff forced me to settle the restaurant bill before leaving the restaurant, this was quite embarrassing as I kept explaining the staff that I am staying in the hotel and provided my room number , also I had been provided credit for food as a part of the package. The rooms have a stale…"
711,Rushi Jain,5,Hosted my wedding at Grand Hyatt Mumbai,I had my dream wedding at Grand Hyatt Mumbai. The entire hotel staff was extremely cooperative and took extra care of every single detail. The food was beyond expectations. Jain preparations were kept in mind fully. All in all the entire function was grand and full of glamour.
712,Varsha Agarwal,5,Christmas staycation,We would like to inform you that our stay at Agra d Hyatt  always feels like home.  We have been coming here since August and I can’t think of any other place to go in Mumbai.   We love the place because of the amazing hospitality and the enormous love we get from the staff. This is our second family.   I would like to take a moment and appreciate our favorite people in the hotel because it’s then who made us fall in love with the place.   @Danish  @Melvina  @Hiral  @Himanshu  @shaibaz  @Renuka   Lots of love to Danish for giving us the upgrade. He made our Christmas and honestly we weren’t expensive it all.   He treats us like family and loves us like friends and respects us as guests 🥰.
713,Rajeev R,2,Not a good experience.. service sucks,"Avoid this hotel...After a long break, wanted to disconnect. Decided to stay at Grand Hyatt, Mumbai. It was some quite family time and some disconnect from day to day office etc. But I had poor and unpleasant experience. No service. House keeping and room service you keep in calling them but nobody bothers. Only you hear Sorry sir..Then they shift you to a new room ( good on them) but ac not working there too. I was told the new room was personally checked & selected by their Housekeeping head. You are billed for ice cream which you never had and the painful saga continues.  I'd suggest there are other options available at similar rate and DEFINATELY better Service.. But would like to thank Nishat (chef) who escalated and tried helping and Deepak in house keeping who was there…"
714,Rajul,1,Worst experience of hotel stay,"First time came out during COVID times. We have to do our own car parking, ok considering these changed times. Kids play area and swimming pool not open as per precautionary measures. But what about room. Travelled with infant and toddler, booked for king size bed courtyard view but they gave us queen size bed with no view! on top of that they give you reasons like they have standard size beds! Then why charges different at time of booking? After almost 2- 3 hours and change of 2 rooms - with one infant and one toddler! We were shifted to residence room which was ok but way to far and for restaurant we had to walk almost 20 mins within property. We could not enjoy at all as kids schedule was affected due to very poor management of allocating rooms and had to do in room dining (…"
715,Xerxes,5,Mr Xerxes Bharucha,"Excellent experience, we were hosted well. Myth: it's popular belief that south Indian food isn't good in 5 star hotels, well the fact is: idlis were soft and fresh, good assortment of chutneys, sambhar was authentic.  Juices were fresh and not canned. Bacon was very tasty. Waffles were specially made to my taste. Chef shashant was always around to cater to us. Staff served us well.Going back very very happy and content. Will surely visit again."
716,Dhananjay Naidu,5,Delightful experience,Its always been been a pleasure staying at the Grand Hyatt Mumbai. Thanks to the excellent staff who make you feel special both at the front desk and Dining. Deserving appreciation to Duty Manager Mr. Sujay Manjrekar and Restaurant staff Ms.Renuka Joshi who delivered their services with grace and finess which made my stay really memorable.
717,Rohith,5,One of the best hospitality and services.,"Hotel Grand Hyatt has one of the best services and top of the class rooms thoroughly sanitized to beyond safety. This hotel has an excellent management team from great receptionists to one of the best restaurant crews. The environment was very friendly and the way they cared for the customers felt very homely and the food was top notch. The overall experience was a very memorable one. Thank you Chef Nishad, chef Shashikant, chef Apurva , chef kilen ,Ganga and Renuka you all were just amazing !!  PS:Thank you for this wonderful gesture.(photo attached below)."
718,Binbin N,5,Birthday dinner,"Was an evening meant to celebrate my husbands birthday with just the immediate family and it turned out to be really wonderful after all.   We were ushered into the sanctity of the Grand Hyatts restaurant with utmost care taken over the security and safety norms.  The attendants were more than courteous and hospitable and were eager to help us set the mood for the occasion.  We were greeted in person by Chef Nishad who went all out to make sure we were comfortable and even recommended really amazing dishes which really lived up to our expectations.  I take this opportunity to thank Chef Nishad and his team, mainly Chef kilen, chef Vishal ,Chef Siddhesh ,Sayan and Renuka who made our visit really memorable. We are sure going to make the restaurant our choice of celebration venue…"
719,Lakshman Narayan,5,Appreciatiàon,"The Team at 55 East led by Chef Nishad and ably supported by Chef kilen, Chef Rahul ,Chef Eric ,Sayan and renuka were amazingly hospitable. It was probably our best life experience of the ""The True Human Touch"". This is what the Servce industry should look like. The special complimentary Signature dessert you signed off with will forever be in our memory and thank you once again. Presentation, taste et al, you did it. Merry Christmas and a Happy New Vibrant 2021 to you all"
720,payalkapoor907,5,Grand Hyatt stay,We had Amazing experience. From check-in to check out everything was just perfect. I would recommend grand Hyatt to my friends and family members. Will surely visit Grand Hyatt again. Thank you team for the lovely experience
721,Rahulmster,5,Excellent Hospitality!,"The stay was comfortable and clean with the best in class hospitality. Special mention to the team the hosted the morning breakfast. They just made our day and our stay more special with their excellent service and hospitality. Thank you Chef Nishad, Chef Shashikant, Chef Apurva , Chec Kilen, Ganga and renuka. Appreciate your amazing hospitality."
722,Sameeksha jain,5,Breakfast at hyatt,"Very hospitable staff Great dining experience Staff regularly visited the table to check on us if we needed anything. There was a birthday cake too. Since we couldn't eat it then they sent it to our room. Beautiful experience, everyone must try it once."
723,Dhara,5,Dhara Shah,"We had an unplanned stay at the Hyatt for a night which got delayed due to visa issues and we stay for over 4 nights awaiting but we actually had the best time of our lives there as the staff was super enthusiastic in serving us, we had the most exotic breakfast at the Celeni and at lunch the Indian food was just perfect to your taste buds. The bar area with the drinks and grilled mushroom brocolli paneer platter was a steal. We happen to have the most sinful brunch having International cuisine with a variety of 20 deserts in the platter. Out of which the hot molten baked  chocolate  lava was the best. Great hospitality great head chef and the Stuart's simply remarkable !! Kudos to the whole team of Hyatt for being so fantastic and doing a wonderful job !!!"
724,Bhushan Bagwe,4,Celebrated Wedding Anniversary at the Grand Hyatt,"We dropped in to a warm welcome to our  luxurious stay. Received a small cake after the staff discovered we were celebrating our anniversary which was a very sweet gesture. We had a very good culinary experience at Celini, one of the five restaurants they host. To conclude, we had a very pleasant one day stay. Grand Hyatt is truly GRAND!"
725,Prasad,5,"Stay at Grand Hyatt, Mumbai","We had a wonderful stay at Grand Hyatt. The room was cozy, well organized and our stay at the hotel was relaxing in revitalizing.     Breakfast in the morning was the best part of a good start for the day. All the chefs, servers made it more special.    Feeling re-energized!!    Thanks a lot to all the members of Grand Hyatt for making a pleasant stay at the hotel.    Regards,  Prasad Dangat"
726,Pulkit Raycha,5,Customer centric,"10/10 in customer service: Chef Nishad, chef Shashikant, chef Apurva, chef kilen,Ganga and renuka knows how to treat people. It was an awesome experience. Food 10/10. Stay 10/10. Looking forward to stay again."
727,Nikhita Naik,5,Laundry pick up feedback,I am quite satisfied with the service provided by Mr.Chandrakant who has been consistence in making sure my laundry is done everyday and pickup is hassle-free. My clothes are spick and span. I am a happy customer😊
728,Zahra Chadha,5,Ms,"Hyatt is always a favorite .A great place to be ,warmth of the place and staff and one to always go back to. A great stress buster holiday and the luxury of the place is one to fall in love with . Celini being an all time fav and china house.  The breakfast was a wide spread and best way to start a day"
729,Khushi G,5,It’s the people that make it memorable!,"So my mother, sister and I went for a staycation at the Grand Hyatt Mumbai. We had such an amazing time. The food at all the restaurants was phenomenal. Chef Nishad took special care of us and made sure that we were made to feel at home. He and his crew were the nicest. It feels so nice when you find warm and smiling faces even through such tough times. Thank you chef Nishad and of course to Chitrak who has always made this place the best experience in Mumbai."
730,Ashfaq K,5,Wedding,"The visit was amazing.... The ambiance was beautiful... The staff is very cooperative, always your service.. Food was amazing. Great hospitality...  The room was neat and clean. View from the room was awesome"
731,Ritesh,5,Mr Ritesh Mishra,"Awesome Service, Good food and Polite behaviour by the staff  Personally thanks to Chef Nishad, chef shashikant, chef eric , chef kilen ,Saraswati and renuka for attending us and also giving special attention."
732,Nisha kyal,5,Feedback,"Our servers were Chef Nishad, chef shashikant, chef eric , chef kilen ,Saraswati and renuka....they did an excellent job.... food was authentic... support staff was superb had a good understanding.... would love to visit again....Thank you"
733,Ria C,5,Enjoyed our stay,"Great Service. Very friendly staff, especially the chefs and servers at Celini.  We were served hot, fresh breakfast despite being late to breakfast.  Overall our stay was pleasant, the rooms were clean and the view from our room was also decent"
734,pepe,5,Excellent service,Vivek the restorant manager is the number one. Mami Agnel and Harshada are very kindly and good profesionals. Please change the lounge menu one time a week adding international meals. Thank you for all the staff. 
735,BoscoMoniz,5,Stay at Grand Hyatt Mumbai and birthday celebration at Celini.,"An amazing restaurant backed by a solid team! At breakfast, Chef Nishad planned a customized lunch menu for our family of 10. Though Celini is an Italian themed restaurant, the menu had a combination of Italian, Indian and various other cuisines. The kids (6 & 8) had a great time and enjoyed the food too and with the seniors. We explicitly loved the spread starters and the Indian dishes. The desserts were amazing especially the Tiramisu. Renuka did an amazing job keeping the family engaged and serving with an expert understanding of our likes and preferences. I thank Chef Nishad, Chef Selvam, Chef Apurva, Chef Keenan and Chef Shon for the wonderful spread. Thank you team Celine and GHM. Looking forward for future experiences."
736,SGupta,5,Had the best time at Grand Hyatt,"I stayed at the hotel for 3 weeks. I had a really great time. Hotel staff and hospitality is exemplary. Special shout out to Chef Nishad, Selvam, Apurva and Keenan and my server Shon. Perfect breakfasts to start your day - will recommend chef Nishad’s green smoothie (which he was kind enough to specially make for me). Highly highly recommend staying there, and honestly cant wait to stay there again."
737,Bhupendra,5,25th anniversary,This was our first visit to Grand Hayat &it was fantastic on duety Deepa had done very good job by surprising us like room decoration and free cake that was fantastic.Even during breakfast the staff was fantastic the way they behav service was really excellent.
738,Sandeep A,5,Great food and service at the Celini,"Celini is my fav Italian restaurant in Mumbai. And as usual the place delivered. We order a salmon and spinach, a wild mushroom risotto and spinach and goat cheese ravioli. The place has continued with its top quality standards after opening from the lockdown. Looking forward to another visit."
739,shiravintl,5,dining experience,"This review may be a tad longer as I think words cannot describe the super duper experience we had at the Grand Hyatt Mumbai when we attended a wedding on 11th Dec 2020 during the covid times when only 50 guests  were invited for the event.  Don’t know where to begin, we received our room numbers 48 hours before and on arrival was pleasantly surprised to be escorted to an upgraded room or rather a suite which had a balcony  as well, with chocolates and fruits in addition to the welcome hamper, dry fruits and an amazing medley of choco bites and pista burgers in the form of a cake placed by the Host.   The first meal of the day -breakfast was amazing , the Egg Florentine with truffle oil was par excellence , done perfectly, just the way I like it.., and the surprising bit was the…"
740,RAJANI DUBE,5,Anniversary celebration at Grand hyatt Mumbai - Amazing experience,"We were looking fr a relaxing staycation. We checked in to celebrate our 20th wedding anniversary on 12th & 13th December 2020. We booked 2 rooms in advance and 3 days prior to our check in  hotel staff upgraded our room into a suite with nice patio.We got a call and reminders from the hotel prior to our checkin date. On entrance staff sanitized our luggage tking all appropriate measures into consideration.Grand hyatt hospitality was evident everywhere.The rooms are opulent and luxurious.The aura of this property left us spellbound,exceptional in all aspects,extremely courteous staff made our stay memorable. Hotel staff Pallavi sent a special cake in our room to celebrate our anniversary.Breakfast buffet was outstanding...food was amazing. Special thanks to Chef Nishad,Chef…"
741,Kettan Sanghavi,5,Anniversary Stay,"We Stayed at Grand Hyatt for 1 Night for my Anniversary celebration and it was the best moment i’ve ever had.. And my experience was flawless, as the room was spacious, clean and hygienic, the food was simply tasty and the Hospitality has been par excellence. I would like to give special thanks to Ms Preeti who took care of us. and the Team from F&B Department for giving us such an awesome surprise by organizing a Special Candle Light dinner at China House with a very special Birthday Cake.  You guys ensured a comfortable stay and extended level of Hospitality. Thank u guys we would love to visit here again!"
742,Mehvesh Memon,5,Family outing,It was a pleasant stay We had a wonderful time Love to visit again . Thanks for the hospitality  Loved the food especially a lovely spread at the breakfast. Rooms were v clean and hygienic  Being in the pandemic situation all the norms were followed .
743,chiragsabunani,4,"Grand (albeit a bit dated) property, great service, housekeeping needs to be a bit more particular","Spent a night at the Grand Hyatt. Great team and staff. Large comfortable rooms. Housekeeping needs to be more particular.   The restaurant - China House was great!   I did find that the breakfast team was overwhelmed but the front-desk team obliged to send me my choice of breakfast to the room (great service), in part because I also noticed some guests were not following protocols at breakfast and I did not want to expose myself to that. So my message is that the team is doing really well under the circumstances, the property is wonderful but needs a bit more TLC.   I'd definitely recommend the Grand Hyatt Mumbai."
744,Sarfaraz A,5,07 star services & Best staff in the Hotel Industry.,"Breakfast & Service will knock your slippers off. We have had breakfast here many times in recent years and they continue to knock it out every time.  Dosas prepared by Chef Selvam were well beyond my expectations each time we stayed at Grand Hyatt Mumbai. Everything is so fresh. Best Cutting Chai I have ever had. Podi Dosa and Uttapam were out of this world. Breakfast will knock your slippers off.  The service is fast and friendly. Miss. Parul Mourya is always wonderful & great! She is an adorable, very personable, very efficient & energetic. I have noticed Miss Parul is a good leader and always go an extra mile to enhance team work in the team. She is an asset that needs to be ratained by the Grand Hyatt Hotels and I highly recommend her for the higher position without any…"
745,Tanmay Boob,5,Our stay at grand hyatt,"Amazing stay , perfect hospitality , good food . We highly recommend stay at grand hyatt Perfect weekend getaway for detoxing . The staff here are very polite and service here is perfect . Overall it was a paradise"
746,Himani M,5,Fantastic stay!!!,"Was planning a quick trip to Mumbai... Wasn't sure which property to stay in...   However, after considering the close proximity to my area of work, we narrowed down on the Grand Hyatt, Mumbai.  Called the Hotel in the middle of the night.. Not only did the team ( Mr. Pratik and Ms. Roshni ) help us with the reservation but also alleviated our fears on the bed size and room allotment.  They were extremely kind to offer an complimentary room upgrade too.  Was warmly greeted by Ms Deepa Ghosalkar and her team. The check in process was extremely quick.  She and her colleague walked me down to my room and offered all help possible.  The room was spacious, spotless and clean.  Being a globalist with the Hyatt... was offered complimentary lounge access.  The service was simply…"
747,Divya G,5,Birthday celebration feedback,"The whole experience was amazing! The staff especially, Mr Mani was extremely supportive, friendly and helpful. It was very well organised with high quality ambience and service! Commendable job! Thank you for the great evening!"
748,Tejas Jain,5,Appreciation post for the Team of Grand Hyatt!!,"I sincerely want to thanks the below team of Grand Hyatt for making my special day extra special! Cheers to you guys, right from room decor, service, a personal note, cake, wine etc and hospitality to all the way making us feel really special and giving us a memorable stay at Grand Hyatt Mumbai.  Thanks to Front Office Himanshu Pawaskar, Adil Canteenwala, Rahul and Ruturaj from Room Service, Sarawati and Agnel from Celini restaurant, siddhesh and Florian from bell desk. You guys were amazing Looking forward for more such stays at Grand Hyatt.  Thank you once again!"
749,Dipen Kadam,5,Overall really nice Experience,"Really pleasant stay. Rooms were spacious & well lit. Staff is very polite. Quite a few options for breakfast. From juices to indian breakfast options. Right now their gym is closed down due to Covid 19 , they have kept few dumbbells and cardio machines in their shopping arena, I personally felt inadequate   Keeping that apart, Definitely Recommended. ."
750,Surya Pillai,5,Excellent food and a pleasant stay for my Parent’s anniversary,"We stayed at the property for 2 days for a quick getaway with our parents for their anniversary. Thank you so much for making it special for them with the cake and excellent service.  The food was excellent throughout our stay. A special mention about the South Indian fare, which really impressed us. Chef Nishad was extremely attentive and communicative with us. Thank you for the amazing food and service Chef! Also, thanks to his lovely team that served us - chef selvam, chef Apurva , chef keenan and  Shon, and the entire service team! We loved your attention to detail and personalised service. ❤️  The farewell dessert prepared by your team was a very special touch! Thank you so much.   The cleanliness and sanitisation measures on the property were outstanding and we felt safe…"
751,Sharone Vakharia,5,Fantastic experience,"I had recently organized a birthday dinner  treat for my son's birthday for his friends and him àt the Celini restaurant of the Grand Hyatt,Santacruz East. Sayan debPaul, the Manager there was extremely helpful from setting the sumptuous  menu to giving us a separate seating enclosure!His team and he went all out to ensure that my son and his friends had the most memorable evening together! The covid 19 measures were very well taken care of too.  Thanks so much Sayan for this wonderful dining experience. God bless."
752,Heena K,5,Hemdev-Sethi Wedding,"Best service and support provided by the entire staff, special thanks to Sujay, Deepa and Renuka for their wonderful n flawless assistance throught the celebration. Front desk team was excellent and managed all check ins and check outs on time. Our guests were very happy."
753,sanjeet3,5,Great location and Culinary delight,"Grand Hyatt Mumbai is a short drive from  the airport and the BKC area. Rooms are larger than most hotels in the city.  The food and service is amazing. China House is my personal favourite. The restaurant staff and Chiefs are very accommodating to special requests. Would like to specifically mention a few names for their exceptional service- Abhishek, Mani, Vivek, Chef Jhupa & Chef’s at China House."
754,jiya shah,5,dinner at celini,the food was amazing! and the service was even better. oir food was served super quick and the pizza was the highlight. TO DIE FOR!  the staff are amazing msut mention sumeet quintin harshada nikhil thank you guys
755,komalpp1971,5,Very warm n comfortable,"Awesome n smooth Restaurant made awesome food for us Rooms were very clean n comfortable  Peaceful, quiet n safe Will be visiting this hotel again in the next year Check in n check out was quick n easy"
756,Ashish Jagtap,5,Simply Amazing Experience,"We stayed at Grand Hyatt for 2 Nights for the birthday celebration of my wife and it was the best birthday she ever had.  Everything was flawless, the room was spacious, clean and hygienic, the food was simply amazing and the Hospitality has been par excellence.  I would like to give a special mention about Ms Pallavi from the Front Office for the express checkin and checkout, Ms Preeti from the House keeping Department for surprising us with a special Birthday Cake at Midnight and Mr. Vivek & Team from F&B Department for giving us such an awesome surprise by organizing a Special Candle Light dinner at China House with a very special Birthday Cake. You guys ensured a comfortable stay and extended level of Hospitality. 👏👏  Thank u guys we would love to visit here again!!!"
757,Purnima L,5,Mom's Birthday Celebration-Dinner Time,So its Covid time.. scary and need to be extra careful. The onus lies with oneself.  So after a lot of coaxing got my senior parents to step out of the house for moms dinner..  Moms a jain veg.. sister a veg and the rest of us non veg.. One would think the bill would hit the roof.. But when you have Chef Nishad head chef by your table helping you choose your dishes.. trust me NOTHING CAN GO WRONG.. We were lucky to have the head chef of CHINA One also at our table.. what a take on pan fried noddle's.  One must order !! Their pepperoni pizza to die for.. the off the menu selections are innovative and tasty!! If something not to your taste.. ask Chef Nishad and just like that..voila its fixed.. A big thank you to Sayandeep the manager of Restaurants for watching over us and making…
758,Jacob,1,Treated very poorly by the security.,"Me and my friend was stopped at the gate as we came on our bike and was told to park our bike on the main road and walk into the hotel. This is not the kind of experience any guest would expect when they visit a hotel. The security treated us very bad and when we asked to speak with the manager he kept telling us to take our bike and leave.   WORST EXPERIENCE EVER. WOULDN'T RECOMMEND ANYONE TO VISIT UNLESS YOU OWN A BENZ. THEN THEY LET YOU IN,"
759,Nicks Sawant,5,Birthday lunch at celini,I had an amazing experience at Celini Celebrating my sister’s birthday Mr sumeet mr nikhil miss bhvaika Chef nishad chef roshan al were amazing  Thank you so much for making the day so special  Will surely comeback  to dine
760,Riddhee shah,5,Superb Experience,"Had a great experience during our stay on 5th and 6th dec , special thanks to chef Nishad and team ( renuka,  abhishek , shraddha , chef jhupa,  chef selvam ) , meals were good , courteous staff , buffet experience was good."
